"X","sub","pr_raw","bias_highbaserate","pre_map_change","post_map_change","rt_planning_pr","median_RT_actionselection","trial_num","planning_q","PR_individual_answers","experiment","log_rt_planning","PR"
0,"5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv",0.666666667,-2.441435368,0.5,0.25,1.189,0.8883,-0.896165609,1,1,1,0.291558373,0.267798096923532
1,"5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv",0.666666667,-2.441435368,0.5,0.25,0.704,0.8883,0.103834391,1,1,1,-0.232531168,0.267798096923532
2,"5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv",0.666666667,-2.441435368,0.5,0.25,0.7348,0.8883,2.103834391,1,0,1,-0.18971117,0.267798096923532
3,"5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv",0.666666667,-2.441435368,0.5,0.25,1.1418,0.8883,5.103834391,1,0,1,0.25105172,0.267798096923532
4,"5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv",0.666666667,-2.441435368,0.5,0.25,0.2895,0.8883,6.103834391,1,1,1,-1.121154227,0.267798096923532
5,"5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv",0.666666667,-2.441435368,0.5,0.25,0.32,0.8883,8.103834391,1,1,1,-1.020988528,0.267798096923532
6,"62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv",0.5,-2.191435368,0.75,1,2.1108,0.60445,-0.896165609,1,1,1,1.250503348,-0.353938839889073
7,"62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv",0.5,-2.191435368,0.75,1,0.9773,0.60445,2.103834391,1,0,1,0.480474714,-0.353938839889073
8,"62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv",0.5,-2.191435368,0.75,1,1.0368,0.60445,4.103834391,1,1,1,0.539575372,-0.353938839889073
9,"62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv",0.5,-2.191435368,0.75,1,1.3837,0.60445,6.103834391,1,0,1,0.828197396,-0.353938839889073
10,"62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv",0.5,-2.191435368,0.75,1,0.4398,0.60445,7.103834391,1,1,1,-0.317998876,-0.353938839889073
11,"62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv",0.5,-2.191435368,0.75,1,2.074,0.60445,8.103834391,1,0,1,1.232915435,-0.353938839889073
12,"5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv",0.833333333,-2.441435368,1,0,1.481,1.0015,-0.896165609,1,1,1,0.391218659,0.889535030005716
13,"5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv",0.833333333,-2.441435368,1,0,2.067,1.0015,0.103834391,1,1,1,0.724599405,0.889535030005716
14,"5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv",0.833333333,-2.441435368,1,0,0.353,1.0015,2.103834391,1,1,1,-1.042786098,0.889535030005716
15,"5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv",0.833333333,-2.441435368,1,0,0.373,1.0015,4.103834391,1,1,1,-0.987675735,0.889535030005716
16,"5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv",0.833333333,-2.441435368,1,0,0.713,1.0015,7.103834391,1,0,1,-0.339772735,0.889535030005716
17,"5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv",0.833333333,-2.441435368,1,0,0.382,1.0015,8.103834391,1,1,1,-0.963833546,0.889535030005716
18,"608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv",0.5,-2.691435368,0.25,0.25,0.6059,0.4269,1.103834391,1,0,1,0.350165162,-0.353938839889073
