,sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR
0,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.441435367804411,0.5,0.25,1.189,0.8883,-0.8961656094626929,1,1,1,0.2915583729151266,-1.5554768135157264
1,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.441435367804411,0.5,0.25,0.704,0.8883,0.10383439053730714,1,1,1,-0.23253116761761292,-1.5554768135157264
2,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.441435367804411,0.5,0.25,0.7348,0.8883,2.1038343905373074,1,0,1,-0.18971117043468466,-1.5554768135157264
3,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.441435367804411,0.5,0.25,1.1418,0.8883,5.103834390537307,1,0,1,0.25105171975450347,-1.5554768135157264
4,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.441435367804411,0.5,0.25,0.2895,0.8883,6.103834390537307,1,1,1,-1.1211542267626053,-1.5554768135157264
5,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,-2.441435367804411,0.5,0.25,0.32,0.8883,8.103834390537306,1,1,1,-1.020988527981883,-1.5554768135157264
6,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.191435367804411,0.75,1.0,2.1108,0.60445,-0.8961656094626929,1,1,1,1.2505033478835117,-1.7221434805157263
7,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.191435367804411,0.75,1.0,0.9773,0.60445,2.1038343905373074,1,0,1,0.48047471369678907,-1.7221434805157263
8,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.191435367804411,0.75,1.0,1.0368,0.60445,4.103834390537307,1,1,1,0.5395753719500092,-1.7221434805157263
9,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.191435367804411,0.75,1.0,1.3837,0.60445,6.103834390537307,1,0,1,0.8281973960273377,-1.7221434805157263
10,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,-2.191435367804411,0.75,1.0,0.4398,0.60445,7.103834390537307,1,1,1,-0.31799887552734013,-1.7221434805157263
