sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
55b2d3f2fdf99b525bc839aa_study6_2023-08-14_11h59.05.301.csv,0.333333333,0.25,0,0,14.3636,0.8801,1,5,1,1
55b2d3f2fdf99b525bc839aa_study6_2023-08-14_11h59.05.301.csv,0.333333333,0.25,0,0,13.8355,0.8801,2,2,0,1
55b2d3f2fdf99b525bc839aa_study6_2023-08-14_11h59.05.301.csv,0.333333333,0.25,0,0,8.5645,0.8801,3,6,0,1
63eae4994d8e22b28bccb864_study6_2023-08-18_01h08.41.365.csv,0.666666667,0.5,0.5,0.25,0.642,1.115,1,6,0,1
63eae4994d8e22b28bccb864_study6_2023-08-18_01h08.41.365.csv,0.666666667,0.5,0.5,0.25,0.502,1.115,2,2,0,1
63eae4994d8e22b28bccb864_study6_2023-08-18_01h08.41.365.csv,0.666666667,0.5,0.5,0.25,0.367,1.115,3,0,0,1
63eae4994d8e22b28bccb864_study6_2023-08-18_01h08.41.365.csv,0.666666667,0.5,0.5,0.25,0.653,1.115,4,4,0,1
5eb32b8adc8fc511560fca82_study6_2023-08-17_20h08.36.015.csv,0.333333333,0,0.25,0,1.7091,0.8571,1,5,0,1
5eb32b8adc8fc511560fca82_study6_2023-08-17_20h08.36.015.csv,0.333333333,0,0.25,0,2.1683,0.8571,2,4,1,1
5eb32b8adc8fc511560fca82_study6_2023-08-17_20h08.36.015.csv,0.333333333,0,0.25,0,0.9334,0.8571,3,0,0,1
5eb32b8adc8fc511560fca82_study6_2023-08-17_20h08.36.015.csv,0.333333333,0,0.25,0,0.1341,0.8571,4,3,1,1
5edeea354d54cb1a825aa8f9_study6_2023-08-18_01h08.35.051.csv,0.5,0.5,0.5,0,3.707,1.117,1,1,1,1
5edeea354d54cb1a825aa8f9_study6_2023-08-18_01h08.35.051.csv,0.5,0.5,0.5,0,2.592,1.117,2,0,0,1
5edeea354d54cb1a825aa8f9_study6_2023-08-18_01h08.35.051.csv,0.5,0.5,0.5,0,1.24,1.117,3,7,0,1
5edeea354d54cb1a825aa8f9_study6_2023-08-18_01h08.35.051.csv,0.5,0.5,0.5,0,1.27,1.117,4,5,0,1
64139d773ac9a0278d479b1c_study6_2023-08-14_15h13.26.605.csv,0.666666667,0.5,0.5,0.25,2.6572,0.9356,1,7,0,1
64139d773ac9a0278d479b1c_study6_2023-08-14_15h13.26.605.csv,0.666666667,0.5,0.5,0.25,1.5713,0.9356,2,1,0,1
64139d773ac9a0278d479b1c_study6_2023-08-14_15h13.26.605.csv,0.666666667,0.5,0.5,0.25,4.0775,0.9356,3,3,0,1
64139d773ac9a0278d479b1c_study6_2023-08-14_15h13.26.605.csv,0.666666667,0.5,0.5,0.25,3.677,0.9356,4,4,0,1
5f280d1533b5cf085a06e2ad_study6_2023-08-14_15h17.07.536.csv,0.666666667,0.5,0.5,0.25,0.7916,0.8542,1,7,0,1
5f280d1533b5cf085a06e2ad_study6_2023-08-14_15h17.07.536.csv,0.666666667,0.5,0.5,0.25,0.8778,0.8542,2,6,0,1
5f280d1533b5cf085a06e2ad_study6_2023-08-14_15h17.07.536.csv,0.666666667,0.5,0.5,0.25,0.7677,0.8542,3,2,0,1
5f280d1533b5cf085a06e2ad_study6_2023-08-14_15h17.07.536.csv,0.666666667,0.5,0.5,0.25,0.8846,0.8542,4,5,0,1
609140cea1442672dd2141d7_study6_2023-08-14_17h33.29.125.csv,0.333333333,0.25,0.5,0,1.5837,1.0084,1,5,0,1
609140cea1442672dd2141d7_study6_2023-08-14_17h33.29.125.csv,0.333333333,0.25,0.5,0,1.1564,1.0084,2,7,1,1
609140cea1442672dd2141d7_study6_2023-08-14_17h33.29.125.csv,0.333333333,0.25,0.5,0,1.2258,1.0084,3,2,0,1
609140cea1442672dd2141d7_study6_2023-08-14_17h33.29.125.csv,0.333333333,0.25,0.5,0,0.9889,1.0084,4,3,1,1
5aafd9eff69e940001d88bf4_study6_2023-08-14_15h17.37.738.csv,0.666666667,0.5,0.5,0.25,3.9869,1.08605,1,1,0,1
5aafd9eff69e940001d88bf4_study6_2023-08-14_15h17.37.738.csv,0.666666667,0.5,0.5,0.25,0.6682,1.08605,2,4,0,1
5aafd9eff69e940001d88bf4_study6_2023-08-14_15h17.37.738.csv,0.666666667,0.5,0.5,0.25,0.384,1.08605,3,5,0,1
5aafd9eff69e940001d88bf4_study6_2023-08-14_15h17.37.738.csv,0.666666667,0.5,0.5,0.25,1.1516,1.08605,4,0,0,1
5b648251bd56550001bf31fd_study6_2023-08-14_16h13.15.663.csv,0.5,0.75,0.25,0,7.315,0.9107,1,0,0,1
5b648251bd56550001bf31fd_study6_2023-08-14_16h13.15.663.csv,0.5,0.75,0.25,0,6.4153,0.9107,2,7,0,1
5b648251bd56550001bf31fd_study6_2023-08-14_16h13.15.663.csv,0.5,0.75,0.25,0,6.2298,0.9107,3,2,0,1
5study6_2023-08-14_17h35.30.229.csv,0.166666667,0,0.25,0,0.0047,0.919,1,3,1,1
5study6_2023-08-14_17h35.30.229.csv,0.166666667,0,0.25,0,0.8193,0.919,2,5,1,1
5study6_2023-08-14_17h35.30.229.csv,0.166666667,0,0.25,0,1.0001,0.919,3,2,1,1
5study6_2023-08-14_17h35.30.229.csv,0.166666667,0,0.25,0,1.015,0.919,4,0,0,1
5study6_2023-08-14_18h25.13.383.csv,0,0.75,0.25,0,4.4551,0.8338,1,1,1,1
5study6_2023-08-14_18h25.13.383.csv,0,0.75,0.25,0,0.8714,0.8338,2,6,1,1
5study6_2023-08-14_18h25.13.383.csv,0,0.75,0.25,0,0.9723,0.8338,3,0,1,1
5study6_2023-08-14_18h25.13.383.csv,0,0.75,0.25,0,0.4846,0.8338,4,2,1,1
