sub,PR Evidence,bias_lowbaserate,bias_finalstate,pre_map_change,post_map_change,first_half_postmap,second_half_postmap
61460488fc1bdf4d2c8ce1db,0.375,0.5,0,1,1,1,1
5e57a0020c3c6a14a1624031,0.75,0.5,0.5,0.5,1,1,1
5b222aff59f9620001c109cb,0.375,0.5,0.5,1,1,1,1
60ca1c436511b9fc8ab35615,0.25,0.25,0.5,1,1,1,1
5e0fac24500f066c547f6376,0.75,0.5,0.5,0.75,0,0,0
58404fd8ad98e40001ce915f,0.75,0.5,0.5,1,0.75,1,0.5
5d811e6ab395350018786d78,0.625,0.5,0.5,1,0.25,0.5,0
60951a228692926022c15fbd,0.25,0.625,0.375,0.5,0.5,0.5,0.5
62e965d4ab0caa404c95a439,0.625,0.5,0.5,1,1,1,1
5f07759f859dcb38b8d4c6b5,0.625,0.5,0.5,1,0,0,0
5f4e97aae4fe380a7bad99c7,0.625,0.375,0.375,1,0,0,0
5cc7443b836ddc0016fec706,0.5,0.5,0.5,1,0.25,0.5,0
5fd7782dee03dc08d3f3f491,0.5,0.375,0.375,1,1,1,1
60fd5adad03767cff6dddda8,0.75,0.5,0.25,0.75,0.25,0.5,0
5f3287b83428cb05746e2214,0.375,0.625,0.125,0.5,0.25,0.5,0
5685850c333cbd000d4e042f,0.375,0.5,0.5,1,0.75,1,0.5
5e3c7f23a7f9e9078a2a009a,0.5,0.5,0.5,1,0.25,0.5,0
60375d67dde85cad87f3c99d,0.5,0.5,0.25,1,0.75,1,0.5
5e72db2782efd522c37d4a77,0.625,0.25,0.5,1,0.75,0.5,1
5b258c9ba7cee100011d8aad,0.75,0.5,0.5,0.75,0,0,0
5ddecbb55daaa6e4238aabc7,0.75,0.375,0.375,0.5,0.5,1,0
5e93138a7d69590115fa1e21,0.5,0.625,0.125,0.75,0.25,0,0.5
5f61341fe5033f0b6327fb7f,0.625,0.375,0.375,0.75,0.25,0,0.5
601129f77e0c21000b0c408a,0.5,0.25,0.75,1,0.5,0.5,0.5
5d96a61b5d0f1c00117201bd,0.5,0.625,0.125,1,0,0,0
5dd58b43149f5354a6124a41,0.5,0.5,0.5,1,0.75,1,0.5
60b0f00d76201e617923f93f,0.5,0.625,0.625,1,0.5,0,1
615776777c08445c8ffd8d1b,0.5,0.25,0.75,1,0,0,0
5abbc97de1099600016a286a,0.5,0.5,0.5,1,0,0,0
603d75c3cd5c8ec37b0700a1,0.75,0.5,0.5,0.5,0.25,0,0.5
5e7a2fc429c35307d86105a1,1,0.375,0.375,0.75,0.25,0,0.5
60a6ba026f8bd75b67b23c97,0.625,0.5,0.5,1,0.25,0,0.5
5ec3b9e83f187802a6aa041e,1,0.5,0.25,1,0.75,1,0.5
5808ec7ff0740c0001789a1b,0.625,0.375,0.625,1,0.5,0,1
615f338fdbb7744db42e0f7f,1,0.25,0.25,1,0,0,0
62daeec8e79af298b60dcb83,0.625,0.25,0.5,1,0,0,0
607081b0ecb2499634a349dd,0.5,0.5,0.5,0.75,0.5,1,0
5b2a2d855b5c0900018b0bf5,0.75,0.375,0.125,0.5,0.75,1,0.5
5e852dd84fc423121601a0f8,1,0.5,0.5,0.75,0.75,1,0.5
5f4813c94e8b081877fb26a6,0.5,0.375,0.375,1,1,1,1
5ecaa03045d07e0767b5d61e,0.75,0.375,0.375,0.75,1,1,1
5e918b7bf9c9d14abca01622,0.625,0.5,0.5,1,0,0,0
5fdf808af53c7a7e9199b430,0.75,0.25,0.25,0.75,0.25,0.5,0
5c86d4f7d7c01f001660d938,0.625,0.5,0.5,1,1,1,1
