sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
61460488fc1bdf4d2c8ce1db_pr_task_fullstudy1_2022-08-24_19h15.49.919.csv,0.375,0.5,,,0.871,,3,0.149,0,5
61460488fc1bdf4d2c8ce1db_pr_task_fullstudy1_2022-08-24_19h15.49.919.csv,0.375,0.5,,,0.348,,7,0.149,0,5
61460488fc1bdf4d2c8ce1db_pr_task_fullstudy1_2022-08-24_19h15.49.919.csv,0.375,0.5,,,0.417,,10,0.149,0,5
61460488fc1bdf4d2c8ce1db_pr_task_fullstudy1_2022-08-24_19h15.49.919.csv,0.375,0.5,,,0.383,,11,0.149,1,5
61460488fc1bdf4d2c8ce1db_pr_task_fullstudy1_2022-08-24_19h15.49.919.csv,0.375,0.5,,,0.954,,13,0.149,1,5
61460488fc1bdf4d2c8ce1db_pr_task_fullstudy1_2022-08-24_19h15.49.919.csv,0.375,0.5,,,0.675,,14,0.149,0,5
61460488fc1bdf4d2c8ce1db_pr_task_fullstudy1_2022-08-24_19h15.49.919.csv,0.375,0.5,,,0.133,,15,0.149,0,5
61460488fc1bdf4d2c8ce1db_pr_task_fullstudy1_2022-08-24_19h15.49.919.csv,0.375,0.5,,,0.14,,16,0.149,1,5
5e57a0020c3c6a14a1624031_pr_task_fullstudy1_2022-08-24_20h29.44.549.csv,0.75,0.5,,,3.6771,,1,0.2004,1,5
5e57a0020c3c6a14a1624031_pr_task_fullstudy1_2022-08-24_20h29.44.549.csv,0.75,0.5,,,0.5603,,2,0.2004,0,5
5e57a0020c3c6a14a1624031_pr_task_fullstudy1_2022-08-24_20h29.44.549.csv,0.75,0.5,,,0.2341,,5,0.2004,1,5
5e57a0020c3c6a14a1624031_pr_task_fullstudy1_2022-08-24_20h29.44.549.csv,0.75,0.5,,,0.8921,,6,0.2004,1,5
5e57a0020c3c6a14a1624031_pr_task_fullstudy1_2022-08-24_20h29.44.549.csv,0.75,0.5,,,0.1071,,8,0.2004,1,5
5e57a0020c3c6a14a1624031_pr_task_fullstudy1_2022-08-24_20h29.44.549.csv,0.75,0.5,,,0.1771,,9,0.2004,1,5
5e57a0020c3c6a14a1624031_pr_task_fullstudy1_2022-08-24_20h29.44.549.csv,0.75,0.5,,,1.2923,,10,0.2004,1,5
5e57a0020c3c6a14a1624031_pr_task_fullstudy1_2022-08-24_20h29.44.549.csv,0.75,0.5,,,0.1752,,11,0.2004,0,5
5b222aff59f9620001c109cb_pr_task_fullstudy1_2022-08-25_00h45.42.398.csv,0.375,0.5,,,0.9199,,3,0.3822,1,5
5b222aff59f9620001c109cb_pr_task_fullstudy1_2022-08-25_00h45.42.398.csv,0.375,0.5,,,0.6461,,5,0.3822,1,5
5b222aff59f9620001c109cb_pr_task_fullstudy1_2022-08-25_00h45.42.398.csv,0.375,0.5,,,0.6966,,8,0.3822,0,5
5b222aff59f9620001c109cb_pr_task_fullstudy1_2022-08-25_00h45.42.398.csv,0.375,0.5,,,0.6199,,10,0.3822,0,5
5b222aff59f9620001c109cb_pr_task_fullstudy1_2022-08-25_00h45.42.398.csv,0.375,0.5,,,0.3577,,12,0.3822,1,5
5b222aff59f9620001c109cb_pr_task_fullstudy1_2022-08-25_00h45.42.398.csv,0.375,0.5,,,0.8064,,13,0.3822,0,5
5b222aff59f9620001c109cb_pr_task_fullstudy1_2022-08-25_00h45.42.398.csv,0.375,0.5,,,0.7877,,14,0.3822,0,5
5b222aff59f9620001c109cb_pr_task_fullstudy1_2022-08-25_00h45.42.398.csv,0.375,0.5,,,0.6716,,15,0.3822,0,5
60ca1c436511b9fc8ab35615_pr_task_fullstudy1_2022-08-24_21h21.17.861.csv,0.25,0.25,,,0.784,,1,0.4499,0,5
