sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr
5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.6666666666666666,0.5,0.5,0.25,0.35865
62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,0.75,0.75,1.0,0.25985
5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.8333333333333334,0.5,1.0,0.0,0.278
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.24220000000000003
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,1.93715
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.6666666666666666,0.5,1.0,0.0,0.5231
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.6666666666666666,0.25,0.75,1.0,0.3546
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.8333333333333334,0.75,0.75,0.0,1.10565
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,0.75,0.75,0.75,0.5741
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.3333333333333333,0.5,1.0,1.0,1.28155
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1.0,1.0,0.2177
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.6666666666666666,0.5,1.0,1.0,1.05155
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.8333333333333334,0.75,0.75,0.75,0.74715
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.3333333333333333,0.5,1.0,0.25,0.17354999999999998
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,0.1845
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.8333333333333334,0.5,1.0,0.75,0.2528
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,0.3198
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.8333333333333334,0.75,0.75,0.75,0.6667
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.8333333333333334,0.5,1.0,0.25,0.136
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.6666666666666666,0.25,0.75,0.75,0.4597
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.2768
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,1.46605
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.6666666666666666,0.25,0.25,0.5,1.7216
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.6666666666666666,0.75,0.75,0.25,0.5676
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.43215
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.3333333333333333,0.75,0.25,0.5,0.5051
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0.0,0.5,1.0,1.0,0.76345
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1.0,0.5,1.0,0.5,0.692
