s3_image,Next Image,Probability,s2_image
tophat.png,trident.png,0.6,
train.png,planet.png,0.4,
snorkel.png,trident.png,0.6,
hammer.png,trident.png,1.0,
snorkel.png,planet.png,0.4,
window.png,planet.png,1.0,
north.png,planet.png,0.4,
apple.png,trident.png,1.0,
tophat.png,planet.png,0.4,
north.png,trident.png,0.6,
train.png,trident.png,0.6,
houses.png,planet.png,0.8,
compass.png,trident.png,0.286,
compass.png,planet.png,0.714,
houses.png,trident.png,0.2,
,trident.png,0.6,bell.png
,planet.png,0.4,bell.png
,trident.png,0.6,tree.png
,trident.png,1.0,fox.png
,planet.png,0.4,tree.png
,planet.png,1.0,unicorn.png
,planet.png,0.75,watch.png
,trident.png,0.25,watch.png
