s1_image,Next Image,Probability
compass.png,planet.png,0.393
north.png,planet.png,0.6
houses.png,trident.png,0.607
hammer.png,trident.png,1.0
train.png,trident.png,0.4
houses.png,planet.png,0.393
train.png,planet.png,0.6
snorkel.png,trident.png,0.4
tophat.png,planet.png,0.6
compass.png,trident.png,0.607
window.png,planet.png,1.0
tophat.png,trident.png,0.4
apple.png,trident.png,1.0
snorkel.png,planet.png,0.6
north.png,trident.png,0.4
compass.png,watch.png,1.0
north.png,bell.png,1.0
houses.png,watch.png,1.0
hammer.png,fox.png,1.0
train.png,tree.png,1.0
snorkel.png,bell.png,1.0
tophat.png,tree.png,1.0
window.png,unicorn.png,1.0
apple.png,fox.png,1.0
