sub_id,e4,e6,e7,e9,e10,e11,e13,e14,m4,m6,m7,m9,m10,m11,m13,m14,q4,q6,q7,q9,q10,q11,q13,q14,a4,a6,a7,a9,a10,a11,a13,a14,b4,b6,b7,b9,b10,b11,b13,b14,v
1,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,0,0,0,0,0,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
2,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,1,1,1,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
3,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,0,0,0,0,0,0,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
4,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,0,1,1,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
5,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,1,1,0,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
6,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,0,0,0,1,0,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
7,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,0,1,0,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
8,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,0,0,1,1,1,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
9,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,1,0,0,0,0,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
10,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,0,0,0,1,0,0,0,0,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
11,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,0,0,1,0,1,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
12,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,0,0,0,0,1,0,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
13,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,1,1,1,1,0,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
14,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,0,1,1,1,1,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
15,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,1,0,1,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
16,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,0,0,0,0,1,0,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
17,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,1,1,1,1,0,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
18,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,0,1,1,0,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
19,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,0,0,1,1,1,0,0,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
20,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,0,0,1,1,1,1,0,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
21,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,0,1,1,1,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
22,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,1,1,0,0,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
23,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,0,1,0,1,0,1,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
24,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,1,0,1,0,0,0,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
25,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,0,1,1,0,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,1
26,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,0,1,0,0,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,2
27,5.22,3.75,3.59,3.05,1.98,0.95,-0.18,-1.62,0.067,0.02,0.013,0.008,0.01,0.004,0.083,0.017,1,1,0,1,0,1,1,1,0.00036,0.00055,0.00036,0.00036,0.0015,0.0017,0.1,0.086,7.78,1.71,5.3,2.5,5.62,2.53,3.09,1.51,2
