trial,sub_id,v,Choice,Divergence,Avg Pred Prob,Avg Succ Prob,Base Rate Ratio,Base Rate Ratio log,AvgPredProblog,AvgSuccProblog
1,502.0,3.55234297108674,0.7676969092721835,7.06,0.42,0.00036,11.49,2.4414770918606643,-0.8675005677047231,-7.929406526514119
2,502.0,3.55234297108674,0.8923230309072782,6.7,0.45,0.00055,6.11,1.809926773183504,-0.7985076962177716,-7.505592279737757
3,502.0,3.55234297108674,0.7477567298105683,5.51,0.42,0.0017,11.49,2.4414770918606643,-0.8675005677047231,-6.3771270279199666
4,502.0,3.55234297108674,0.9172482552342971,5.22,0.067,0.00036,7.78,2.0515563381903004,-2.703062659591171,-7.929406526514119
5,502.0,3.55234297108674,0.8584247258225324,4.74,0.45,0.0039,6.11,1.809926773183504,-0.7985076962177716,-5.546778725846536
6,502.0,3.55234297108674,0.6331006979062812,3.75,0.02,0.00055,1.71,0.5364933705145685,-3.912023005428146,-7.505592279737757
7,502.0,3.55234297108674,0.6031904287138584,3.59,0.013,0.00036,5.3,1.667706820558076,-4.3428059215206005,-7.929406526514119
8,502.0,3.55234297108674,0.8334995014955134,3.2,0.42,0.017,11.49,2.4414770918606643,-0.8675005677047231,-4.074541934925921
9,502.0,3.55234297108674,0.7457627118644068,3.05,0.008,0.00036,2.5,0.9162907318741551,-4.8283137373023015,-7.929406526514119
10,502.0,3.55234297108674,0.6769690927218345,1.98,0.01,0.0015,5.62,1.7263316639055997,-4.605170185988091,-6.502290170873972
11,502.0,3.55234297108674,0.6420737786640079,0.95,0.004,0.0017,2.53,0.9282193027394288,-5.521460917862246,-6.3771270279199666
12,502.0,3.55234297108674,0.6580259222333001,0.85,0.45,0.19,6.11,1.809926773183504,-0.7985076962177716,-1.6607312068216509
13,502.0,3.55234297108674,0.7298105682951147,-0.18,0.083,0.1,3.09,1.128171090909654,-2.488914671185539,-2.3025850929940455
14,502.0,3.55234297108674,0.5613160518444666,-1.62,0.017,0.086,1.51,0.412109650826833,-4.074541934925921,-2.4534079827286295
