sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
61486056bf28edc17582494b_study5_pr_2_2023-06-22_14h49.19.950.csv,0.3333333333333333,0.5,1.0,1.0,4.7885,0.6016,1,2.0,0
61486056bf28edc17582494b_study5_pr_2_2023-06-22_14h49.19.950.csv,0.3333333333333333,0.5,1.0,1.0,1.4692,0.6016,2,0.0,1
61486056bf28edc17582494b_study5_pr_2_2023-06-22_14h49.19.950.csv,0.3333333333333333,0.5,1.0,1.0,6.6574,0.6016,3,1.0,0
61486056bf28edc17582494b_study5_pr_2_2023-06-22_14h49.19.950.csv,0.3333333333333333,0.5,1.0,1.0,0.5344,0.6016,4,6.0,1
5cf2ceada14d6b0019cfb019_study5_pr_2_2023-06-22_15h09.27.641.csv,0.16666666666666666,0.5,1.0,1.0,1.8096,0.5415,1,4.0,0
5cf2ceada14d6b0019cfb019_study5_pr_2_2023-06-22_15h09.27.641.csv,0.16666666666666666,0.5,1.0,1.0,0.5428,0.5415,2,2.0,0
5cf2ceada14d6b0019cfb019_study5_pr_2_2023-06-22_15h09.27.641.csv,0.16666666666666666,0.5,1.0,1.0,1.5478,0.5415,3,3.0,0
5cf2ceada14d6b0019cfb019_study5_pr_2_2023-06-22_15h09.27.641.csv,0.16666666666666666,0.5,1.0,1.0,0.4683,0.5415,4,6.0,1
5eb989cc2549e1094d55eb35_study5_pr_2_2023-06-22_15h56.45.217.csv,0.5,0.5,1.0,1.0,1.568,0.3667,1,1.0,1
5eb989cc2549e1094d55eb35_study5_pr_2_2023-06-22_15h56.45.217.csv,0.5,0.5,1.0,1.0,5.0391,0.3667,2,5.0,1
5eb989cc2549e1094d55eb35_study5_pr_2_2023-06-22_15h56.45.217.csv,0.5,0.5,1.0,1.0,1.9697,0.3667,3,0.0,1
5eb989cc2549e1094d55eb35_study5_pr_2_2023-06-22_15h56.45.217.csv,0.5,0.5,1.0,1.0,0.3857,0.3667,4,3.0,0
6453c2df1b56ea2d0b96df79_study5_pr_2_2023-06-22_16h39.10.332.csv,0.3333333333333333,0.5,1.0,0.25,5.8688,0.8223,1,2.0,1
6453c2df1b56ea2d0b96df79_study5_pr_2_2023-06-22_16h39.10.332.csv,0.3333333333333333,0.5,1.0,0.25,2.9867,0.8223,2,4.0,1
6453c2df1b56ea2d0b96df79_study5_pr_2_2023-06-22_16h39.10.332.csv,0.3333333333333333,0.5,1.0,0.25,8.5219,0.8223,3,7.0,0
6453c2df1b56ea2d0b96df79_study5_pr_2_2023-06-22_16h39.10.332.csv,0.3333333333333333,0.5,1.0,0.25,15.1592,0.8223,4,3.0,0
648099f11700d769a2e9034a_study5_pr_2_2023-06-22_16h22.47.179.csv,0.0,0.5,1.0,0.0,1.92,0.786,1,5.0,0
648099f11700d769a2e9034a_study5_pr_2_2023-06-22_16h22.47.179.csv,0.0,0.5,1.0,0.0,0.603,0.786,2,1.0,0
648099f11700d769a2e9034a_study5_pr_2_2023-06-22_16h22.47.179.csv,0.0,0.5,1.0,0.0,0.722,0.786,3,4.0,0
648099f11700d769a2e9034a_study5_pr_2_2023-06-22_16h22.47.179.csv,0.0,0.5,1.0,0.0,0.823,0.786,4,2.0,0
5c7ceda01d2afc0001f4ad1d_study5_pr_2_2023-06-22_15h01.46.707.csv,0.5,0.25,0.5,0.5,2.251,0.501,1,0.0,1
