Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
649450cac222deea1931cf52,5f0333df099f494ed223e66a,APPROVED,2023-06-22T13:46:54.657000Z,2023-06-22T14:40:39.001000Z,2023-06-25T15:17:31.698000Z,2023-06-22T14:42:06.017245Z,3225,C1EI1MLP,363,English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
649450f0aece8b7e7cfb0e6a,6165d04961f94aba783d4529,APPROVED,2023-06-22T13:47:32.353000Z,2023-06-22T14:37:01.244000Z,2023-06-25T15:17:31.898000Z,2023-06-22T14:37:01.749041Z,2969,C1EI1MLP,118,"Afrikaans, Chinese, English",24,Female,White,Zimbabwe,Spain,South Africa,English,No,Full-Time,
6494512fb65892d5d9ec7152,61486056bf28edc17582494b,APPROVED,2023-06-22T13:48:42.211000Z,2023-06-22T14:44:58.586000Z,2023-06-25T15:17:32.090000Z,2023-06-22T14:45:00.179510Z,3377,C1EI1MLP,198,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6494518f4139ba7f7702723d,5ea5ce7be9fb245c8d7deded,APPROVED,2023-06-22T13:50:41.585000Z,2023-06-22T14:34:21.419000Z,2023-06-25T15:17:32.277000Z,2023-06-22T14:34:22.143903Z,2620,C1EI1MLP,726,"Spanish, English",34,Female,White,Spain,Spain,Spain,Spanish,No,Full-Time,
6494519149b9f4323df68196,61141c855eb58d6a4e3d8d5b,APPROVED,2023-06-22T13:50:09.129000Z,2023-06-22T14:56:52.217000Z,2023-06-25T15:17:32.460000Z,2023-06-22T14:56:52.712322Z,4004,C1EI1MLP,456,"English, Spanish",26,Female,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking),
649451999f0af13d8262eb4e,5fac2995bbe58415e0ac6a1e,APPROVED,2023-06-22T13:50:17.196000Z,2023-06-22T15:22:22.611000Z,2023-06-25T15:17:32.654000Z,2023-06-22T15:22:23.122561Z,5526,C1EI1MLP,212,"Spanish, English",22,Male,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking),
649451b84d22016665f2da2c,647c948b332d16c3579c4c9c,APPROVED,2023-06-22T13:51:03.559000Z,2023-06-22T14:56:00.112000Z,2023-06-25T15:17:32.843000Z,2023-06-22T14:56:00.606835Z,3897,C1EI1MLP,4,"English, French",20,Female,White,France,France,France,French,Yes,Part-Time,
649451b9fc82ced80b2d4ccb,61503885693f6ebde3f2fcbc,APPROVED,2023-06-22T13:59:31.404000Z,2023-06-22T15:09:24.380000Z,2023-06-25T15:17:33.034000Z,2023-06-22T15:09:24.835496Z,4193,C1EI1MLP,317,"English, Spanish",22,Female,Other,Argentina,Spain,Argentina,Spanish,DATA_EXPIRED,DATA_EXPIRED,
649451bd5c60d15a3431cef9,5c61b5da31489a0001fa81c5,APPROVED,2023-06-22T13:50:58.083000Z,2023-06-22T14:42:02.071000Z,2023-06-25T15:17:33.226000Z,2023-06-22T14:42:22.535345Z,3064,C1EI1MLP,1574,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
649451c7af7b7fd984b38a9f,60017e06ec9b1e03b7f52c62,APPROVED,2023-06-22T13:51:34.975000Z,2023-06-22T14:42:49.497000Z,2023-06-25T15:17:33.414000Z,2023-06-22T14:42:49.936484Z,3075,C1EI1MLP,222,"Catalan, Spanish, English",35,Female,White,Spain,Spain,Spain,Catalan,Yes,Full-Time,
64945202dae4abfec946ecba,60df7ffed00034efd9a002c1,APPROVED,2023-06-22T13:52:11.532000Z,2023-06-22T14:56:26.623000Z,2023-06-26T05:10:15.338000Z,2023-06-22T14:56:27.172433Z,3856,NOCODE,57,English,47,Female,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6494521e04c60fb13fa76774,616f468bb251489045e6d9f5,APPROVED,2023-06-22T13:52:54.912000Z,2023-06-22T14:58:13.786000Z,2023-06-25T15:17:33.604000Z,2023-06-22T14:58:17.968945Z,3919,C1EI1MLP,116,"Catalan, English, Spanish",20,Female,White,"Venezuela, Bolivarian Republic of",Spain,"Venezuela, Bolivarian Republic of",Spanish,Yes,Other,
649452454d4c19d9dfbc6324,5ada203ce34a050001b85276,APPROVED,2023-06-22T13:53:09.835000Z,2023-06-22T14:54:49.533000Z,2023-06-25T15:17:33.801000Z,2023-06-22T14:54:50.022566Z,3700,C1EI1MLP,688,"English, Spanish",56,Female,White,Spain,Spain,Spain,Spanish,No,Full-Time,
64945282ab3ec290ff2f5856,593ac6bf06c3b80001d67167,APPROVED,2023-06-22T13:54:10.539000Z,2023-06-22T15:04:46.683000Z,2023-06-25T15:17:33.997000Z,2023-06-22T15:04:52.627184Z,4237,C1EI1MLP,474,"English, Catalan, Spanish",35,Male,White,Spain,Spain,Spain,English,No,Full-Time,
