s1_image,s2_image,s3_image,action1,action2
snorkel.png,tree.png,planet.png,1,a
hammer.png,fox.png,trident.png,7,k
train.png,tree.png,planet.png,2,a
snorkel.png,tree.png,planet.png,1,a
apple.png,fox.png,trident.png,6,k
snorkel.png,tree.png,planet.png,1,a
compass.png,watch.png,trident.png,5,k
tophat.png,tree.png,planet.png,4,a
compass.png,watch.png,trident.png,5,k
snorkel.png,tree.png,planet.png,1,a
compass.png,tree.png,planet.png,5,a
compass.png,watch.png,trident.png,5,k
compass.png,tree.png,planet.png,5,a
tophat.png,tree.png,planet.png,4,a
compass.png,watch.png,trident.png,5,k
compass.png,watch.png,trident.png,5,k
compass.png,tree.png,planet.png,5,a
north.png,watch.png,trident.png,3,k
compass.png,tree.png,planet.png,5,a
compass.png,tree.png,planet.png,5,a
apple.png,fox.png,trident.png,6,k
compass.png,tree.png,planet.png,5,a
north.png,tree.png,planet.png,3,a
train.png,watch.png,trident.png,2,k
apple.png,fox.png,trident.png,6,k
tophat.png,tree.png,planet.png,4,a
compass.png,watch.png,trident.png,5,k
snorkel.png,watch.png,trident.png,1,k
train.png,tree.png,planet.png,2,a
north.png,watch.png,trident.png,3,k
snorkel.png,tree.png,planet.png,1,a
snorkel.png,tree.png,planet.png,1,a
compass.png,tree.png,planet.png,5,a
compass.png,watch.png,trident.png,5,k
north.png,tree.png,planet.png,3,a
tophat.png,tree.png,planet.png,4,a
compass.png,tree.png,planet.png,5,a
train.png,tree.png,planet.png,2,a
north.png,tree.png,bell.png,3,k
compass.png,watch.png,trident.png,5,k
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,5,k
tophat.png,tree.png,bell.png,4,k
compass.png,watch.png,trident.png,5,k
north.png,tree.png,planet.png,3,a
north.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,5,k
hammer.png,fox.png,trident.png,7,k
hammer.png,fox.png,trident.png,7,k
north.png,tree.png,planet.png,3,a
hammer.png,fox.png,trident.png,7,k
compass.png,tree.png,planet.png,5,a
compass.png,watch.png,trident.png,5,k
hammer.png,fox.png,trident.png,7,k
compass.png,watch.png,trident.png,5,k
compass.png,watch.png,trident.png,5,k
compass.png,watch.png,trident.png,5,k
compass.png,tree.png,bell.png,5,k
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,5,k
