s1_image,s2_image,s3_image,action1,action2
compass.png,watch.png,planet.png,9,a
north.png,bell.png,planet.png,1,a
houses.png,watch.png,trident.png,9,l
houses.png,watch.png,trident.png,9,l
hammer.png,fox.png,trident.png,9,l
houses.png,watch.png,trident.png,9,l
hammer.png,fox.png,trident.png,9,a
train.png,tree.png,trident.png,1,l
houses.png,watch.png,planet.png,9,a
train.png,tree.png,planet.png,1,a
snorkel.png,bell.png,trident.png,1,l
houses.png,watch.png,planet.png,9,a
houses.png,watch.png,trident.png,9,a
houses.png,watch.png,planet.png,9,l
houses.png,watch.png,trident.png,9,l
tophat.png,tree.png,planet.png,1,a
snorkel.png,bell.png,trident.png,1,l
compass.png,watch.png,trident.png,9,l
houses.png,watch.png,trident.png,9,l
window.png,unicorn.png,planet.png,1,l
compass.png,watch.png,planet.png,9,a
houses.png,watch.png,planet.png,9,a
hammer.png,fox.png,trident.png,9,l
houses.png,watch.png,planet.png,9,a
houses.png,watch.png,trident.png,9,l
compass.png,watch.png,trident.png,9,l
tophat.png,tree.png,trident.png,1,l
window.png,unicorn.png,planet.png,1,a
tophat.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,9,a
apple.png,fox.png,trident.png,9,a
train.png,tree.png,planet.png,1,a
compass.png,watch.png,planet.png,9,l
houses.png,watch.png,trident.png,9,l
train.png,tree.png,trident.png,1,l
window.png,unicorn.png,planet.png,1,l
compass.png,watch.png,trident.png,9,l
snorkel.png,bell.png,planet.png,1,a
tophat.png,tree.png,trident.png,1,l
train.png,tree.png,planet.png,1,l
north.png,bell.png,trident.png,1,l
houses.png,watch.png,trident.png,9,l
houses.png,watch.png,planet.png,9,l
houses.png,watch.png,planet.png,9,a
compass.png,watch.png,trident.png,9,a
tophat.png,tree.png,trident.png,1,l
compass.png,watch.png,trident.png,9,l
north.png,bell.png,planet.png,1,a
train.png,tree.png,trident.png,1,l
north.png,bell.png,planet.png,1,l
snorkel.png,bell.png,planet.png,1,a
houses.png,watch.png,planet.png,9,a
compass.png,watch.png,planet.png,9,a
compass.png,watch.png,trident.png,9,l
tophat.png,tree.png,trident.png,1,a
houses.png,watch.png,trident.png,9,l
tophat.png,tree.png,planet.png,1,l
apple.png,fox.png,trident.png,9,l
north.png,bell.png,trident.png,1,l
apple.png,fox.png,trident.png,9,a
train.png,tree.png,trident.png,1,a
compass.png,watch.png,trident.png,9,l
north.png,bell.png,planet.png,1,a
snorkel.png,bell.png,planet.png,1,l
compass.png,watch.png,planet.png,9,a
compass.png,watch.png,planet.png,9,l
train.png,tree.png,planet.png,1,a
snorkel.png,bell.png,planet.png,1,a
houses.png,watch.png,trident.png,9,a
apple.png,fox.png,trident.png,9,l
houses.png,watch.png,planet.png,9,l
houses.png,watch.png,trident.png,9,l
houses.png,watch.png,trident.png,9,l
compass.png,watch.png,trident.png,9,a
houses.png,watch.png,planet.png,9,a
tophat.png,tree.png,planet.png,1,a
compass.png,watch.png,planet.png,9,a
snorkel.png,bell.png,planet.png,1,a
tophat.png,tree.png,trident.png,1,l
apple.png,fox.png,trident.png,9,a
hammer.png,fox.png,trident.png,9,l
houses.png,watch.png,trident.png,9,l
apple.png,fox.png,trident.png,9,a
compass.png,watch.png,trident.png,9,l
tophat.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,9,a
compass.png,watch.png,planet.png,9,a
apple.png,fox.png,trident.png,9,l
north.png,bell.png,trident.png,1,l
houses.png,watch.png,trident.png,9,l
compass.png,watch.png,trident.png,9,l
window.png,unicorn.png,planet.png,1,a
houses.png,watch.png,trident.png,9,l
houses.png,watch.png,trident.png,9,l
window.png,unicorn.png,planet.png,1,l
houses.png,watch.png,trident.png,9,a
houses.png,watch.png,trident.png,9,l
compass.png,watch.png,trident.png,9,l
north.png,bell.png,trident.png,1,a
snorkel.png,bell.png,planet.png,1,l
compass.png,watch.png,planet.png,9,l
train.png,tree.png,trident.png,1,l
window.png,unicorn.png,planet.png,1,a
tophat.png,tree.png,planet.png,1,l
tophat.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,9,l
north.png,bell.png,planet.png,1,a
tophat.png,tree.png,planet.png,1,a
houses.png,watch.png,planet.png,9,a
houses.png,watch.png,trident.png,9,l
houses.png,watch.png,trident.png,9,a
compass.png,watch.png,trident.png,9,a
houses.png,watch.png,planet.png,9,l
hammer.png,fox.png,trident.png,9,a
compass.png,watch.png,planet.png,9,a
compass.png,watch.png,planet.png,9,a
apple.png,fox.png,trident.png,9,l
hammer.png,fox.png,trident.png,9,a
compass.png,watch.png,trident.png,9,l
tophat.png,tree.png,trident.png,1,l
apple.png,fox.png,trident.png,9,l
compass.png,watch.png,trident.png,9,l
compass.png,watch.png,trident.png,9,l
snorkel.png,bell.png,trident.png,1,l
snorkel.png,bell.png,planet.png,1,a
train.png,tree.png,trident.png,1,l
north.png,bell.png,trident.png,1,l
compass.png,watch.png,planet.png,9,l
north.png,bell.png,planet.png,1,l
compass.png,watch.png,trident.png,9,a
compass.png,watch.png,trident.png,9,l
houses.png,watch.png,planet.png,9,a
north.png,bell.png,trident.png,1,l
compass.png,watch.png,planet.png,9,a
snorkel.png,bell.png,trident.png,1,a
houses.png,watch.png,trident.png,9,l
tophat.png,tree.png,planet.png,1,l
tophat.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,9,l
hammer.png,fox.png,trident.png,9,a
north.png,bell.png,trident.png,1,l
hammer.png,fox.png,trident.png,9,l
snorkel.png,bell.png,trident.png,1,l
tophat.png,tree.png,trident.png,1,l
train.png,tree.png,planet.png,1,a
apple.png,fox.png,trident.png,9,a
