consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_12.keys,key_resp_12.rt,key_resp_15.keys,key_resp_15.rt,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,PRG_vs_Guessing.thisRepN,PRG_vs_Guessing.thisTrialN,PRG_vs_Guessing.thisN,PRG_vs_Guessing.thisIndex,PRG_vs_Guessing.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,r4_num,r5,r5_num,corr_quiz_ans,type_trial_immediate_first,PRS,key_resp_33.keys,key_resp_33.rt,key_resp_31.keys,key_resp_31.rt,reward_reval_real.thisRepN,reward_reval_real.thisTrialN,reward_reval_real.thisN,reward_reval_real.thisIndex,reward_reval_real.ran,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
space,54.4228,y,26.4039,1,1.2932,0,0,0,0,1,planet.png,planet.png,basket.png,5abbc97de1099600016a286a,63066ac5ef09f851dad02cd8,2022-08-24_19h15.40.561,pr_task_fullstudy1,2021.1.3,Win32,60.22645146,6305b4dcebfdb358a581be74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.7198,0,1,1,1,1,planet.png,planet.png,basket.png,5abbc97de1099600016a286a,63066ac5ef09f851dad02cd8,2022-08-24_19h15.40.561,pr_task_fullstudy1,2021.1.3,Win32,60.22645146,6305b4dcebfdb358a581be74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5abbc97de1099600016a286a,63066ac5ef09f851dad02cd8,2022-08-24_19h15.40.561,pr_task_fullstudy1,2021.1.3,Win32,60.22645146,6305b4dcebfdb358a581be74,a,1,6.8037,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5abbc97de1099600016a286a,63066ac5ef09f851dad02cd8,2022-08-24_19h15.40.561,pr_task_fullstudy1,2021.1.3,Win32,60.22645146,6305b4dcebfdb358a581be74,,,,,,,,,space,28.4649,space,36.2472,c,22.1707,d,42.3741,b,48.9983,b,55.5915,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,38.4245,y,6.0599,1,1.1274,0,0,0,0,1,planet.png,planet.png,basket.png,5abbc97de1099600016a286a,63066ac5ef09f851dad02cd8,2022-08-24_19h15.40.561,pr_task_fullstudy1,2021.1.3,Win32,60.22645146,6305b4dcebfdb358a581be74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1.2418,0,1,1,1,1,planet.png,planet.png,basket.png,5abbc97de1099600016a286a,63066ac5ef09f851dad02cd8,2022-08-24_19h15.40.561,pr_task_fullstudy1,2021.1.3,Win32,60.22645146,6305b4dcebfdb358a581be74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5abbc97de1099600016a286a,63066ac5ef09f851dad02cd8,2022-08-24_19h15.40.561,pr_task_fullstudy1,2021.1.3,Win32,60.22645146,6305b4dcebfdb358a581be74,a,1,5.5167,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5abbc97de1099600016a286a,63066ac5ef09f851dad02cd8,2022-08-24_19h15.40.561,pr_task_fullstudy1,2021.1.3,Win32,60.22645146,6305b4dcebfdb358a581be74,,,,,,,,,space,30.6807,space,62.9949,c,23.2771,d,47.8847,b,27.7972,b,36.2673,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,21.2356,y,2.4461,1,1.1211,0,0,0,1,1,planet.png,planet.png,basket.png,5abbc97de1099600016a286a,63066ac5ef09f851dad02cd8,2022-08-24_19h15.40.561,pr_task_fullstudy1,2021.1.3,Win32,60.22645146,6305b4dcebfdb358a581be74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1.0262,0,1,1,0,1,planet.png,planet.png,basket.png,5abbc97de1099600016a286a,63066ac5ef09f851dad02cd8,2022-08-24_19h15.40.561,pr_task_fullstudy1,2021.1.3,Win32,60.22645146,6305b4dcebfdb358a581be74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
