Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63063052dd7dbf011d15e031,5e72db2782efd522c37d4a77,APPROVED,2022-08-24T14:06:45.457000Z,2022-08-24T15:49:46.853000Z,2022-09-02T13:27:27.949000Z,2022-08-24T15:49:47.333104Z,6182.0,763C1391,162,1.0,100.0,"Portuguese, English",24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month,
63063054b42c5fd5163b0ef9,5f20552d41aabd0e9fd6aab2,APPROVED,2022-08-24T14:06:12.940000Z,2022-08-24T15:34:53.475000Z,2022-09-02T13:27:28.040000Z,2022-08-24T15:34:53.813108Z,5321.0,763C1391,213,0.0,100.0,"Polish, English",21,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking),
63066ab2d2b87baec6bee92c,60a6ba026f8bd75b67b23c97,APPROVED,2022-08-24T18:15:14.944000Z,2022-08-24T19:49:37.270000Z,2022-09-02T13:27:28.220000Z,2022-08-24T19:49:38.743259Z,5663.0,763C1391,217,4.0,98.0,"English, Portuguese",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other,
63066ab27342183a1023606e,5dde680c40460edc4a5dc1a2,APPROVED,2022-08-24T18:15:14.680000Z,2022-08-24T19:34:22.793000Z,2022-09-02T13:27:28.128000Z,2022-08-24T19:34:23.234081Z,4749.0,763C1391,831,1.0,100.0,"Czech, English, French, German, Russian, Slovak",40,Female,White,Czech Republic,Czech Republic,Czech Republic,Czech,Yes,Full-Time,
63066ab38de989d9c5d98cf3,5d40a12f4994c40001e4b80c,APPROVED,2022-08-24T18:16:02.472000Z,2022-08-24T20:12:20.173000Z,2022-09-02T13:27:28.401000Z,2022-08-24T20:12:20.557867Z,6978.0,763C1391,515,3.0,100.0,"Polish, Czech, German, English, Spanish, Italian, French",31,Female,White,Poland,Poland,Poland,Polish,No,Full-Time,
63066ab361e8b86454683391,5dafea4de40355001651fa2f,APPROVED,2022-08-24T18:16:37.396000Z,2022-08-24T20:23:31.239000Z,2022-09-02T13:27:28.311000Z,2022-08-24T20:23:31.942678Z,7614.0,763C1391,635,9.0,98.0,"English, Polish, German",28,Male,White,Poland,Poland,Poland,Polish,No,Full-Time,
63066ab489b8b1039718b58a,5d6ed96c3fe1ac001add3be8,APPROVED,2022-08-24T18:17:57.564000Z,2022-08-24T19:57:10.588000Z,2022-09-02T13:27:28.680000Z,2022-08-24T19:57:10.992592Z,5954.0,763C1391,177,2.0,100.0,"English, Chinese",26,Female,Asian,Malaysia,United Kingdom,United Kingdom,English,Yes,Part-Time,
63066ab40ef0a7d7b64d9f5e,62e0251cc2818b23981bfa87,APPROVED,2022-08-24T18:15:20.701000Z,2022-08-24T21:03:37.463000Z,2022-09-02T13:27:28.495000Z,2022-08-24T21:03:37.900784Z,10097.0,763C1391,36,0.0,100.0,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
63066ab48968ecc2082360cf,6012ed349807110d8eb941a6,APPROVED,2022-08-24T18:15:24.707000Z,2022-08-24T20:16:43.146000Z,2022-09-02T13:27:28.588000Z,2022-08-24T20:16:43.503396Z,7279.0,763C1391,622,1.0,100.0,"Afrikaans, English",36,Female,White,South Africa,Canada,South Africa,English,No,Full-Time,
63066ab5cff7d25e4e067c1c,60ca1c436511b9fc8ab35615,APPROVED,2022-08-24T18:21:04.540000Z,2022-08-24T19:46:29.632000Z,2022-09-02T13:27:28.860000Z,2022-08-24T19:46:30.021270Z,5126.0,763C1391,423,1.0,100.0,"English, German, Greek",25,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time,
63066ab57af5fd03416b261e,5f07759f859dcb38b8d4c6b5,APPROVED,2022-08-24T18:15:17.957000Z,2022-08-24T19:41:56.751000Z,2022-09-02T13:27:28.770000Z,2022-08-24T19:41:57.162903Z,5199.0,763C1391,331,0.0,100.0,"Estonian, English",28,Male,White,Estonia,Estonia,Estonia,Estonian,No,Full-Time,
