sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,first_half,second_half
5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.6666666666666666,0.5,0.5,0.25,3.4252999999999996,0.0,0.5
62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,0.75,0.75,1.0,2.2721,1.0,1.0
5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.8333333333333334,0.5,1.0,0.0,8.722,0.0,0.0
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,3.6715999999999998,0.0,0.5
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,7.3857,0.0,0.0
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.6666666666666666,0.5,1.0,0.0,7.754499999999999,0.0,0.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.6666666666666666,0.25,0.75,1.0,5.7673000000000005,1.0,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.8333333333333334,0.75,0.75,0.0,9.7159,0.0,0.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,0.75,0.75,0.75,13.5902,0.5,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.3333333333333333,0.5,1.0,1.0,5.3995,1.0,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1.0,1.0,3.1577,1.0,1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.6666666666666666,0.5,1.0,1.0,11.0483,1.0,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.8333333333333334,0.75,0.75,0.75,6.0829,0.5,1.0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.3333333333333333,0.5,1.0,0.25,0.8902,0.5,0.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,2.3625,0.5,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.8333333333333334,0.5,1.0,0.75,1.7230999999999999,0.5,1.0
