,s1_image,s2_image,s3_image,action1
2,planet.png,bell.png,compass.png,9
12,planet.png,bell.png,compass.png,9
13,planet.png,bell.png,compass.png,9
14,planet.png,bell.png,houses.png,9
15,trident.png,bell.png,houses.png,1
17,trident.png,bell.png,houses.png,1
24,trident.png,bell.png,compass.png,1
25,trident.png,bell.png,houses.png,1
28,trident.png,bell.png,houses.png,1
45,planet.png,bell.png,houses.png,9
49,trident.png,bell.png,compass.png,1
51,trident.png,bell.png,houses.png,1
55,trident.png,bell.png,houses.png,1
57,trident.png,bell.png,houses.png,1
58,trident.png,bell.png,compass.png,1
59,trident.png,bell.png,compass.png,1
60,trident.png,bell.png,houses.png,1
65,trident.png,bell.png,compass.png,1
71,planet.png,bell.png,compass.png,9
75,trident.png,bell.png,houses.png,1
77,planet.png,bell.png,houses.png,9
83,planet.png,bell.png,houses.png,9
85,planet.png,bell.png,houses.png,9
86,trident.png,bell.png,compass.png,1
98,trident.png,bell.png,compass.png,1
107,trident.png,bell.png,compass.png,1
112,planet.png,bell.png,houses.png,9
116,planet.png,bell.png,houses.png,9
122,planet.png,bell.png,houses.png,9
126,planet.png,bell.png,compass.png,9
130,planet.png,bell.png,houses.png,9
141,planet.png,bell.png,compass.png,9
142,planet.png,bell.png,compass.png,9
149,trident.png,bell.png,houses.png,1
150,trident.png,bell.png,compass.png,1
156,trident.png,bell.png,compass.png,1
158,trident.png,bell.png,compass.png,1
160,trident.png,bell.png,houses.png,1
173,planet.png,bell.png,houses.png,9
174,planet.png,bell.png,compass.png,9
175,planet.png,bell.png,houses.png,9
177,trident.png,bell.png,houses.png,1
179,trident.png,bell.png,compass.png,1
182,planet.png,bell.png,houses.png,9
184,trident.png,bell.png,houses.png,1
185,trident.png,bell.png,compass.png,1
186,trident.png,bell.png,compass.png,1
188,trident.png,bell.png,compass.png,1
192,planet.png,bell.png,compass.png,9
195,trident.png,bell.png,compass.png,1
196,trident.png,bell.png,houses.png,1
198,trident.png,bell.png,compass.png,1
200,trident.png,bell.png,compass.png,1
203,trident.png,bell.png,houses.png,1
205,trident.png,bell.png,compass.png,1
206,trident.png,bell.png,houses.png,1
208,planet.png,bell.png,compass.png,9
218,planet.png,bell.png,compass.png,9
220,trident.png,bell.png,compass.png,1
227,trident.png,bell.png,compass.png,1
228,planet.png,bell.png,compass.png,9
229,trident.png,bell.png,houses.png,1
233,trident.png,bell.png,houses.png,1
235,planet.png,bell.png,compass.png,9
236,planet.png,bell.png,houses.png,9
239,trident.png,bell.png,compass.png,1
240,trident.png,bell.png,compass.png,1
245,trident.png,bell.png,houses.png,1
267,trident.png,bell.png,compass.png,1
271,planet.png,bell.png,houses.png,9
280,trident.png,bell.png,compass.png,1
292,trident.png,bell.png,houses.png,1
302,trident.png,bell.png,houses.png,1
306,planet.png,bell.png,compass.png,9
314,trident.png,bell.png,houses.png,1
316,trident.png,bell.png,compass.png,1
321,planet.png,bell.png,compass.png,9
336,planet.png,bell.png,houses.png,9
341,trident.png,bell.png,houses.png,1
344,trident.png,bell.png,compass.png,1
346,planet.png,bell.png,houses.png,9
349,trident.png,bell.png,compass.png,1
352,trident.png,bell.png,houses.png,1
354,trident.png,bell.png,compass.png,1
355,trident.png,bell.png,houses.png,1
358,trident.png,bell.png,compass.png,1
363,planet.png,bell.png,houses.png,9
386,trident.png,bell.png,houses.png,1
389,planet.png,bell.png,compass.png,9
391,planet.png,bell.png,houses.png,9
392,planet.png,bell.png,compass.png,9
395,trident.png,bell.png,houses.png,1
397,trident.png,bell.png,houses.png,1
403,trident.png,bell.png,houses.png,1
409,planet.png,bell.png,compass.png,9
418,planet.png,bell.png,compass.png,9
424,trident.png,bell.png,houses.png,1
425,trident.png,bell.png,houses.png,1
426,planet.png,bell.png,houses.png,9
427,trident.png,bell.png,houses.png,1
428,trident.png,bell.png,compass.png,1
434,planet.png,bell.png,compass.png,9
437,trident.png,bell.png,houses.png,1
440,planet.png,bell.png,compass.png,9
448,planet.png,bell.png,compass.png,9
450,planet.png,bell.png,compass.png,9
451,trident.png,bell.png,houses.png,1
455,trident.png,bell.png,compass.png,1
457,trident.png,bell.png,compass.png,1
472,trident.png,bell.png,compass.png,1
475,planet.png,bell.png,houses.png,9
479,planet.png,bell.png,compass.png,9
486,planet.png,bell.png,houses.png,9
496,trident.png,bell.png,compass.png,1
501,planet.png,bell.png,houses.png,9
503,trident.png,bell.png,houses.png,1
509,planet.png,bell.png,houses.png,9
512,trident.png,bell.png,houses.png,1
517,planet.png,bell.png,houses.png,9
519,trident.png,bell.png,compass.png,1
