sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,two_step_planning
5study5_pr_2_2023-06-20_09h18.16.777.csv,0.5,0.5,1,0.75,0.75
5f0e9896f5e4e11e12c8f5ac_study5_pr_2_2023-06-20_02h18.16.341.csv,0.5,0.5,1,0,0.5
5d64426653ba680017d9f63a_study5_pr_2_2023-06-20_09h22.47.756.csv,1,0.5,1,0,0.5
5a9e9fc46219a30001f54994_study5_pr_2_2023-06-20_09h04.54.195.csv,0.75,0.25,0.75,0.25,0.25
63e60f40643623a5029f1e2b_study5_pr_2_2023-06-20_08h56.47.134.csv,1,0.75,0.75,0.25,0.75
6033e14232d8420e2e0d1986_study5_pr_2_2023-06-20_08h25.25.347.csv,0.5,0.5,1,0.25,0.5
5fd15977af3cce13aa299a6a_study5_pr_2_2023-06-20_09h20.20.209.csv,0.75,0.5,1,1,1
5ddb0d8c9dac7ca8a61b00fd_study5_pr_2_2023-06-20_09h33.55.582.csv,0.75,0.5,1,0.75,0.75
5study5_pr_2_2023-06-20_09h34.55.945.csv,0.5,0.75,0.75,1,0.75
,,,,,0.638888889
,,,,,0.75
