,s1_image,s2_image,s3_image,action1,action2
0,trident.png,bell.png,tophat.png,1,8
1,planet.png,bell.png,train.png,9,2
2,trident.png,tree.png,snorkel.png,1,8
3,trident.png,fox.png,hammer.png,1,2
4,planet.png,tree.png,snorkel.png,9,8
5,planet.png,bell.png,train.png,9,2
6,trident.png,fox.png,hammer.png,1,2
7,planet.png,unicorn.png,window.png,9,8
8,planet.png,tree.png,north.png,9,2
9,trident.png,fox.png,apple.png,1,8
10,trident.png,fox.png,apple.png,1,8
11,trident.png,fox.png,apple.png,1,8
12,trident.png,fox.png,apple.png,1,8
13,trident.png,tree.png,snorkel.png,1,8
14,trident.png,bell.png,tophat.png,1,8
15,trident.png,fox.png,apple.png,1,8
16,trident.png,bell.png,tophat.png,1,8
17,planet.png,bell.png,tophat.png,9,8
18,planet.png,bell.png,tophat.png,9,8
19,trident.png,fox.png,apple.png,1,8
20,trident.png,bell.png,tophat.png,1,8
21,trident.png,bell.png,tophat.png,1,8
22,trident.png,tree.png,north.png,1,2
23,trident.png,tree.png,north.png,1,2
24,trident.png,tree.png,north.png,1,2
25,planet.png,unicorn.png,window.png,9,2
26,trident.png,tree.png,north.png,1,2
27,planet.png,tree.png,north.png,9,2
28,trident.png,fox.png,hammer.png,1,2
29,trident.png,bell.png,train.png,1,2
30,planet.png,tree.png,snorkel.png,9,8
31,planet.png,bell.png,tophat.png,9,8
32,planet.png,bell.png,train.png,9,2
33,planet.png,watch.png,houses.png,9,2
34,trident.png,bell.png,tophat.png,1,8
35,planet.png,bell.png,train.png,9,2
36,trident.png,tree.png,north.png,1,2
37,trident.png,fox.png,hammer.png,1,2
38,trident.png,bell.png,tophat.png,1,8
39,trident.png,tree.png,north.png,1,2
40,trident.png,tree.png,north.png,1,2
41,trident.png,tree.png,north.png,1,2
42,planet.png,bell.png,train.png,9,2
43,trident.png,tree.png,snorkel.png,1,8
44,trident.png,fox.png,apple.png,1,8
45,trident.png,tree.png,north.png,1,2
46,trident.png,tree.png,north.png,1,2
47,trident.png,bell.png,train.png,1,2
48,trident.png,bell.png,train.png,1,2
49,trident.png,fox.png,apple.png,1,8
50,planet.png,bell.png,train.png,9,2
51,planet.png,bell.png,train.png,9,2
52,trident.png,fox.png,hammer.png,1,2
53,trident.png,bell.png,train.png,1,2
54,planet.png,tree.png,snorkel.png,9,8
55,trident.png,tree.png,north.png,1,2
56,trident.png,bell.png,train.png,1,2
57,trident.png,tree.png,north.png,1,2
58,trident.png,fox.png,hammer.png,1,2
59,planet.png,bell.png,tophat.png,9,8
60,trident.png,bell.png,train.png,1,2
61,trident.png,fox.png,apple.png,1,8
62,trident.png,tree.png,snorkel.png,1,8
63,trident.png,fox.png,hammer.png,1,2
64,trident.png,bell.png,tophat.png,1,8
65,trident.png,tree.png,snorkel.png,1,8
66,trident.png,fox.png,hammer.png,1,2
67,trident.png,bell.png,train.png,1,2
68,trident.png,bell.png,train.png,1,2
69,trident.png,tree.png,north.png,1,2
70,trident.png,bell.png,train.png,1,2
71,trident.png,bell.png,tophat.png,1,8
72,trident.png,tree.png,north.png,1,2
73,planet.png,tree.png,snorkel.png,9,8
74,trident.png,tree.png,north.png,1,2
75,planet.png,tree.png,north.png,9,2
76,trident.png,tree.png,north.png,1,2
77,trident.png,fox.png,apple.png,1,8
78,trident.png,bell.png,tophat.png,1,8
79,trident.png,fox.png,apple.png,1,8
80,planet.png,watch.png,houses.png,9,2
81,trident.png,fox.png,apple.png,1,8
82,trident.png,fox.png,apple.png,1,8
83,trident.png,bell.png,tophat.png,1,8
84,trident.png,fox.png,apple.png,1,8
85,trident.png,fox.png,apple.png,1,8
86,trident.png,fox.png,apple.png,1,8
87,trident.png,fox.png,hammer.png,1,2
