Image,PR_EV,SR_EV,MB_EV,BR_EV,trial_num,PR_EV_TWO,SR_EV_TWO,MB_EV_TWO,BR_EV_TWO,GOAL
north,-0.3,0.3,0.3,-1,1,0.42,0.42,1,1,planet.png
bell,-0.3,0.3,0.3,-1,2,0.42,0.42,1,1,planet.png
train,-0.3,0.3,0.3,-1,3,0.42,0.42,1,1,planet.png
snorkel,-0.3,0.3,0.3,-1,4,0.42,0.42,1,1,planet.png
tophat,0.65,0.35,0.35,1,7,0.42,0.42,1,1,planet.png
tree,0.4,0.65,0.65,-1,8,0.16,0.16,1,-1,trident.png
Houses (low),0.4,0.65,0.65,-1,9,0.16,0.16,1,-1,trident.png
Compass (low),0.65,0.35,0.35,1,10,0.42,0.42,1,1,planet.png
hammer.png,0,0,1,-1,11,0.42,0.42,1,1,planet.png
compass.png,0,0,1,1,12,0.16,0.16,1,-1,trident.png
houses.png,0,0,1,1,13,0.16,0.16,1,-1,trident.png
apple.png,0,0,1,-1,14,0.42,0.42,1,1,planet.png
