sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,twostep_planning,num_correct_sr,num_correct_br,high_br,low_br,PR
55b2d3f2fdf99b525bc839aa_study6_2023-08-14_11h59.05.301.csv,0.5,0.5,0.5,0,0.5,4,4,0.5,0.5,0.5
63eae4994d8e22b28bccb864_study6_2023-08-18_01h08.41.365.csv,1,0.5,1,0.75,1,4,4,1,1,0
5eb32b8adc8fc511560fca82_study6_2023-08-17_20h08.36.015.csv,0.5,1,0.5,0.5,0.5,4,4,1,0,0.5
5edeea354d54cb1a825aa8f9_study6_2023-08-18_01h08.35.051.csv,0.75,0.5,1,0.5,1,4,4,1,1,0.25
64139d773ac9a0278d479b1c_study6_2023-08-14_15h13.26.605.csv,1,0.5,1,1,1,4,4,1,1,0
5f280d1533b5cf085a06e2ad_study6_2023-08-14_15h17.07.536.csv,1,0.5,1,0.75,1,4,4,1,1,0
609140cea1442672dd2141d7_study6_2023-08-14_17h33.29.125.csv,0.5,0.5,0.75,0.25,0.5,4,4,1,0.5,0.5
5aafd9eff69e940001d88bf4_study6_2023-08-14_15h17.37.738.csv,1,0.5,1,1,1,4,4,1,1,0
5b648251bd56550001bf31fd_study6_2023-08-14_16h13.15.663.csv,0.75,0.25,0.75,0,0.75,4,4,0.5,1,0.25
5study6_2023-08-14_17h35.30.229.csv,0.25,1,0.5,0.5,0.5,4,4,1,0,0.75
5study6_2023-08-14_18h25.13.383.csv,0,0.25,0.75,0.5,0.5,4,4,0.5,1,1
63ed27349738654dde4655ae_study6_2023-08-14_17h33.35.679.csv,1,0.5,1,1,1,4,4,1,1,0
614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.75,1,0.5,1,0.5,4,4,1,0,0.25
5study6_2023-08-14_16h13.23.056.csv,1,0.5,1,1,1,4,4,1,1,0
63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.5,0.75,0.75,0.25,0.5,4,4,1,0.5,0.5
62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.5,0.5,0.5,0.5,0.5,4,4,0.5,0.5,0.5
55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0,0.5,1,1,1,4,4,1,1,1
5study6_2023-08-14_17h32.13.327.csv,0.25,0.5,1,0,1,4,4,1,1,0.75
644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0,0.5,1,0,1,4,4,1,1,1
5study6_2023-08-17_19h08.56.829.csv,0.5,0.25,0.25,0.25,0.25,4,4,0,0.5,0.5
56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,1,0.5,1,0,1,4,4,1,1,0
5Bee_study6_2023-08-14_12h49.38.721.csv,0.75,0.5,1,0.75,1,4,4,1,1,0.25
5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,1,0.75,0.75,0.75,0.75,4,4,1,0.5,0
5study6_2023-08-14_15h13.08.651.csv,0.25,0.75,0.75,0,0.75,4,4,1,0.5,0.75
6483648c280beabafcb3797e_study6_2023-08-14_17h35.17.544.csv,0.75,0.75,0.75,0.75,0.5,4,4,1,0.5,0.25
61237068bc84f5037bd32443_study6_2023-08-14_19h33.06.044.csv,1,1,0.5,0.5,0.5,4,4,1,0,0
5study6_2023-08-14_15h18.10.842.csv,1,0.75,0.75,0.5,0.75,4,4,1,0.5,0
63ea5f39871e9fdef021a53d_study6_2023-08-14_16h06.25.068.csv,0.5,0.5,1,0,1,4,4,1,1,0.5
63052f20afc39e87110eb83e_study6_2023-08-14_12h38.59.035.csv,1,0.5,1,0.25,1,4,4,1,1,0
5b2bcfb51835660001cc6751_study6_2023-08-14_20h17.28.155.csv,0.5,0.5,1,0.75,0.75,4,4,1,1,0.5
63a439dbbbc878947742d7f7_study6_2023-08-14_12h12.42.182.csv,0.25,0.75,0.75,0.5,0.75,4,4,1,0.5,0.75
63d69e4d6648b39324fdf0ad_study6_2023-08-17_20h13.24.744.csv,0.25,0.25,0.75,0.75,0.75,4,4,0.5,1,0.75
5beecf340431f3000193c926_study6_2023-08-14_15h13.42.422.csv,0.5,0.5,1,0.5,1,4,4,1,1,0.5
5study6_2023-08-14_17h34.42.363.csv,0.75,0.5,1,1,1,4,4,1,1,0.25
5study6_2023-08-14_08h21.38.177.csv,0.75,0.5,1,1,1,4,4,1,1,0.25
5Mir_study6_2023-08-14_13h13.21.451.csv,1,0.5,0.75,1,0.75,4,4,1,0.5,0
