sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,twostep_planning
610898813e48dc2864965122_study6_2023-08-17_20h08.28.061.csv,0.25,0.5,0.5,0.75,0.5
5study6_2023-08-14_17h32.16.918.csv,0.25,0.75,0.25,0.5,0.25
5study6_2023-08-17_19h12.47.437.csv,0.25,0.5,0.5,0.25,0.5
5d42486206811e001ada5b4b_study6_2023-08-17_20h08.46.532.csv,0.75,1.0,0.5,0.75,0.25
596a3b32670f410001fe95d9_study6_2023-08-14_12h21.00.716.csv,0.5,1.0,0.5,0.25,0.5
62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.5,0.5,0.5,0.5,0.5
5c4594514fe4f800016ea070_study6_2023-08-14_17h30.25.786.csv,1.0,0.25,0.75,0.0,0.75
6405feae7d6321bfaaf793e8_study6_2023-08-14_11h32.41.583.csv,0.0,0.5,1.0,0.75,1.0
5study6_2023-08-17_19h08.56.829.csv,0.5,0.75,0.25,0.25,0.25
61237068bc84f5037bd32443_study6_2023-08-14_19h33.06.044.csv,1.0,0.0,0.5,0.5,0.5
5study6_2023-08-14_15h33.38.394.csv,1.0,0.5,1.0,0.5,1.0
5f3e6a07e06e71069f919082_study6_2023-08-14_18h05.53.885.csv,0.75,0.5,1.0,0.5,1.0
63a439dbbbc878947742d7f7_study6_2023-08-14_12h12.42.182.csv,0.25,0.25,0.75,0.5,0.75
5ff1e9e97e067a6157742ad3_study6_2023-08-14_12h11.58.522.csv,0.0,0.5,0.5,0.5,0.25
642d964d8bab7323494e3570_study6_2023-08-17_16h14.02.177.csv,0.0,0.5,0.5,0.5,0.25
5study6_2023-08-14_15h13.11.431.csv,0.5,0.5,0.5,0.5,0.0
5e3723a2c0b2896ad554be73_study6_2023-08-14_15h13.20.648.csv,0.75,0.75,0.75,0.25,0.75
5608a73fd7def20012b7389d_study6_2023-08-17_17h09.53.164.csv,1.0,0.5,1.0,0.5,1.0
