Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64da0bcdf42b764f34174644,5f65476277c78d0cf31a9e82,RETURNED,Not Applicable,2023-08-14T11:13:38.530000Z,,,2024-05-02T12:13:07.948022Z,,,305,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da0bea2993f41b01af7ed0,6387ae41b5e2aa2cea529893,RETURNED,Not Applicable,2023-08-14T11:11:55.843000Z,,,2024-05-02T12:13:08.019018Z,,,56,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da0bf57470aeed89b97afe,5ff1e9e97e067a6157742ad3,APPROVED,,2023-08-14T11:11:57.633000Z,2023-08-14T12:09:06.963000Z,2023-09-04T00:00:14.244000Z,2023-08-14T12:09:08.055799Z,3430.0,C1EI1MLP,508,English,37,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
64da0c1de9ae8f829b1dc7d3,63a439dbbbc878947742d7f7,APPROVED,,2023-08-14T11:12:29.773000Z,2023-08-14T12:12:34.780000Z,2023-09-04T00:00:14.436000Z,2023-08-14T12:12:35.355247Z,3606.0,C1EI1MLP,265,English,30,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64da0c3f806f32633c2e7c7c,5f205f6b941a570ef91368a0,APPROVED,,2023-08-14T11:13:06.233000Z,2023-08-14T12:12:49.296000Z,2023-09-04T00:00:14.598000Z,2023-08-14T12:12:49.764607Z,3584.0,C1EI1MLP,359,"Spanish, English",27,Female,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
64da0dff4695e6ff5e45dc68,596a3b32670f410001fe95d9,APPROVED,,2023-08-14T11:20:41.072000Z,2023-08-14T12:20:40.441000Z,2023-09-04T00:00:14.793000Z,2023-08-14T12:20:44.045738Z,3600.0,C1EI1MLP,1068,English,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64da1496dad7c199573609bf,5a6d92b8e70ca900017adced,APPROVED,,2023-08-14T11:48:49.099000Z,2023-08-14T12:49:13.917000Z,2023-09-04T00:00:14.990000Z,2023-08-14T12:49:14.798221Z,3625.0,C1EI1MLP,535,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64da36614e5990bf1b2ef809,56348a1fdc62e50011cb427c,RETURNED,Not Applicable,2023-08-14T14:13:25.786000Z,,,2024-05-02T12:13:07.965987Z,,,199,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da366353f7f6a7846d7364,5c1575e62a407b0001ff2a4c,RETURNED,Not Applicable,2023-08-14T14:13:06.844000Z,,,2024-05-02T12:13:07.975108Z,,,3089,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da36648373162c3263299f,5d833b0e6642ee0001bfa9cb,RETURNED,Not Applicable,2023-08-14T14:12:52.455000Z,,,2024-05-02T12:13:08.012863Z,,,2224,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da3664963859beb3b546a7,64139d773ac9a0278d479b1c,APPROVED,,2023-08-14T14:12:57.992000Z,2023-08-14T15:13:05.067000Z,2023-09-04T00:00:15.200000Z,2023-08-14T15:13:06.010658Z,3608.0,C1EI1MLP,91,English,29,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Unemployed (and job seeking)
64da366497d2c4e6e0a25262,5e3723a2c0b2896ad554be73,APPROVED,,2023-08-14T14:12:55.054000Z,2023-08-14T15:12:52.653000Z,2023-09-04T00:00:15.401000Z,2023-08-14T15:12:54.744509Z,3598.0,C1EI1MLP,1819,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64da3665d073bc17cfb546be,56ce42d9465e580006846f57,APPROVED,,2023-08-14T14:12:59.383000Z,2023-08-14T15:09:43.375000Z,2023-09-04T00:00:15.574000Z,2023-08-14T15:09:43.979184Z,3404.0,C1EI1MLP,4188,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64da3666188a1833cb59c36b,59e7eb5d62637600014a7db2,RETURNED,Not Applicable,2023-08-14T14:12:54.021000Z,,,2024-05-02T12:13:08.075156Z,,,1206,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
