s1_image,s2_image,s3_image,action1
compass.png,watch.png,trident.png,6
compass.png,watch.png,trident.png,6
tophat.png,tree.png,planet.png,2
compass.png,watch.png,trident.png,6
train.png,tree.png,planet.png,1
train.png,tree.png,planet.png,1
window.png,unicorn.png,planet.png,9
train.png,tree.png,trident.png,1
compass.png,watch.png,trident.png,6
train.png,tree.png,planet.png,1
north.png,bell.png,planet.png,3
apple.png,fox.png,trident.png,8
apple.png,fox.png,trident.png,8
compass.png,watch.png,planet.png,6
snorkel.png,bell.png,trident.png,4
houses.png,watch.png,trident.png,5
train.png,tree.png,planet.png,1
hammer.png,fox.png,trident.png,7
train.png,tree.png,planet.png,1
apple.png,fox.png,trident.png,8
compass.png,watch.png,trident.png,6
compass.png,watch.png,planet.png,6
houses.png,watch.png,planet.png,5
snorkel.png,bell.png,trident.png,4
houses.png,watch.png,planet.png,5
north.png,bell.png,trident.png,3
tophat.png,tree.png,planet.png,2
window.png,unicorn.png,planet.png,9
snorkel.png,bell.png,trident.png,4
north.png,bell.png,planet.png,3
train.png,tree.png,planet.png,1
compass.png,watch.png,trident.png,6
houses.png,watch.png,planet.png,5
houses.png,watch.png,trident.png,5
snorkel.png,bell.png,planet.png,4
snorkel.png,bell.png,trident.png,4
compass.png,watch.png,trident.png,6
apple.png,fox.png,trident.png,8
compass.png,watch.png,trident.png,6
north.png,bell.png,trident.png,3
compass.png,watch.png,planet.png,6
apple.png,fox.png,trident.png,8
houses.png,watch.png,trident.png,5
tophat.png,tree.png,planet.png,2
snorkel.png,bell.png,planet.png,4
houses.png,watch.png,trident.png,5
window.png,unicorn.png,planet.png,9
snorkel.png,bell.png,trident.png,4
compass.png,watch.png,trident.png,6
hammer.png,fox.png,trident.png,7
houses.png,watch.png,trident.png,5
houses.png,watch.png,trident.png,5
compass.png,watch.png,trident.png,6
compass.png,watch.png,planet.png,6
compass.png,watch.png,trident.png,6
snorkel.png,bell.png,planet.png,4
snorkel.png,bell.png,planet.png,4
north.png,bell.png,planet.png,3
north.png,bell.png,planet.png,3
train.png,tree.png,planet.png,1
compass.png,watch.png,trident.png,6
